,word,syll,index,segment,quantity,stressed,ictus,duration,midpoint,f1,f2,euc
0,olid,o,0,o,1,1,ictus,0.07954826729623221,4.3495086503714715,372.6201599721953,1035.5220318250888,662.9018718528935
1,olid,o,0,ʎ,1,1,ictus,0.04535645365777086,4.355090970381126,383.96581689081194,1036.3945283414378,652.4287114506258
2,olid,lid,1,ɪ,2,0,ictus,0.08233286807718976,4.414745611629431,402.3440256411791,814.2980548354358,411.9540291942567
3,olid,o,0,o,1,1,ictus,0.09011019529956421,6.985994688069283,635.9746408612453,1298.9903786973896,663.0157378361442
4,olid,o,0,ʎ,1,1,ictus,0.04302380414440243,6.9839633945639035,638.8579885918073,1288.6240083386087,649.7660197468015
5,olid,lid,1,ɪ,2,0,ictus,0.0770775786254525,7.039529071117155,704.8936782480863,1504.3177331067257,799.4240548586394
6,oli,o,0,o,1,1,ictus,0.09161580266416536,9.474518821116664,537.2117864911445,1305.51769422669,768.3059077355456
7,oli,o,0,ʎ,1,1,ictus,0.06899999999999906,9.49771091978458,555.6074038283297,1208.8888229108136,653.2814190824839
8,oli,li,1,ɪ,1,0,ictus,0.08116541108391928,9.5443763308685,537.8519940166161,1023.1694643901642,485.3174703735481
9,neede,nee,0,eː,2,1,off,0.10237582924468569,10.966843918995156,673.2602493273594,1779.1850463352478,1105.9247970078884
10,neede,de,1,e,1,0,off,0.13834123618712724,11.079046645587896,800.8586037048501,1923.6355514967468,1122.7769477918966
11,tõusis,tõu,0,ɵ,2,1,off,0.07177330733570741,14.575396857749487,713.2328452937455,1448.6082870039138,735.3754417101683
12,tõusis,tõu,0,u,2,1,off,0.049155824829931305,14.588666028911565,690.1180890882376,1396.1464667899234,706.0283777016857
13,tõusis,sis,1,i,2,0,off,0.08056491811390742,14.669153034610506,682.3339323163548,1247.4681992736257,565.1342669572709
14,oli,o,0,o,1,1,ictus,0.08687958829364817,19.669570994543648,514.0373009178351,1270.043017065526,756.005716147691
15,oli,li,1,ɪ,1,0,ictus,0.07623731965029634,19.715564752389092,524.2244125375549,1262.2676438881083,738.0432313505534
16,akkas,ak,0,a,3,1,off,0.08665935108906098,23.698745680372994,391.2034996011772,1425.760071518836,1034.5565719176589
17,akkas,kas,1,a,2,0,off,0.045248004874920866,23.730556329534963,762.0224156887772,1547.209634566581,785.1872188778037
18,korjama.,kor,0,o,2,1,off,0.17965184276813773,25.492602830107515,397.0340617515899,1652.3039081510378,1255.269846399448
19,korjama.,ja,1,a,1,0,ictus,0.14913471697649072,25.658633437002983,648.1654387244226,877.4835863440717,229.31814761964904
20,neede,nee,0,eː,2,1,off,0.07555783238144897,34.83479507472676,609.9813550431743,1006.9714935874139,396.9901385442396
21,neede,de,1,e,1,0,off,0.08889156750758787,34.91368634088975,580.4080704940957,979.5242938932184,399.11622339912276
22,pani,pa,0,a,1,1,ictus,0.11384213123056952,37.2443935768088,660.363936741826,1572.385980538832,912.022043797006
23,pani,ni,1,ɪ,1,0,ictus,0.05348557855525371,37.26003702413348,837.7062316221175,1943.857180297583,1106.1509486754655
24,"taevudes,",tae,0,a,2,1,ictus,0.1929100132209669,39.048550283912576,1061.3962678919636,1371.3039526737593,309.90768478179575
25,"taevudes,",tae,0,e,2,1,ictus,0.13936117442077034,39.09145645172286,1053.9745145495292,1800.9788531645374,747.0043386150082
26,"taevudes,",vu,1,u,1,0,off,0.13747792404659265,39.18875378855907,560.6336702076089,1325.6605119854898,765.0268417778809
