,word,syll,index,segment,quantity,stressed,ictus,duration,midpoint,f1,f2
0,"Laula,",lau,0,au,2,1,ictus,0.2880196135338418,0.522161059138217,523.0544759312742,959.0903441571401
1,"Laula,","la,",1,a,2,0,ictus,0.1500317857723632,0.5692669169510391,577.3990275363575,1042.8985405908786
2,"laula,",lau,0,au,2,1,x,0.22833987379259546,0.7620192470750183,628.0701564336558,1613.3236065616006
3,"laula,","la,",1,a,2,0,x,0.12108932701122477,0.8139146729369717,367.31197205471807,1389.969470080918
4,"suukene,",suu,0,uː,2,1,ictus,0.35980828597621084,1.1962890675347286,525.1250224819714,1081.622276943831
5,"suukene,",ke,1,e,1,0,x,0.2924511441994939,1.411230440004433,528.4032562866854,1055.3449180265284
6,"liigu,",lii,0,iː,2,1,x,0.21335148416494132,2.268925744481604,566.9149147853349,990.222476350837
7,"liigu,","gu,",1,u,2,0,x,0.12489244734459426,2.3460181325324134,564.3752009058778,1046.5223131002244
8,linnu,lin,0,i,2,1,x,0.1340733370435423,2.4531308510283836,623.344941434749,1041.700936194152
9,linnu,nu,1,u,1,0,ictus,0.14709854801617084,2.6089733123300025,442.68658689549045,765.0946831018537
10,"keelekene,",kee,0,eː,2,1,ictus,0.2554255830599166,2.84140687423737,625.7838181943368,810.9314940297938
11,"keelekene,",le,1,e,2,0,ictus,0.1482806854562888,2.896573594770168,676.8483565433447,752.8818029920413
12,"mõlgu,",mõl,0,ɵ,2,1,ictus,0.11106184461498447,4.10799429483818,394.74481167963967,885.3608959845304
13,"mõlgu,",mõl,0,l,2,1,ictus,0.10393622364715505,4.156399596177843,392.9432001891568,1954.5047464928089
14,"mõlgu,","gu,",1,u,2,0,ictus,0.09144049534526211,4.269836991478574,390.2251641713713,2311.3595524739294
15,marja,mar,0,a,2,1,x,0.07794161491679397,4.358324454044882,382.5254742680379,1271.5288546314725
16,marja,ja,1,a,1,0,ictus,0.16375810564870896,4.575896994537597,416.7671339095835,1444.1833695382797
17,"meelekene,",mee,0,eː,2,1,ictus,0.2736973466698842,4.813183804518072,376.82029130146424,983.4779437030292
18,"meelekene,",le,1,e,2,0,ictus,0.14928946181993652,4.860684996915324,391.4286397795896,841.0017607685727
19,"ilutse,",i,0,i,1,1,ictus,0.2415479826595046,5.897172930792229,542.5439049082045,791.352831705884
20,"ilutse,",lut,1,ʊ,2,0,ictus,0.08830978286488822,5.895943373633894,534.4973376114367,803.5224934990721
21,südämekene!,sü,0,y,1,1,x,0.09785188942330691,6.19858733461446,332.2079282883241,1252.131392719942
22,südämekene!,dä,1,æ,1,0,x,0.20702129425703042,6.408371983859818,636.3385037479135,646.1409837004064
23,vait,vait,0,a,3,1,ictus,0.2246113275194741,8.03280194965362,616.5034276282887,1404.6202277575285
24,musta,mus,0,u,2,1,ictus,0.14803879265089037,9.640645560212233,627.3179401488512,1706.0237591281418
25,musta,ta,1,a,1,0,ictus,0.16568072130876388,9.82281764961423,561.9482935014646,893.7675236319891
26,valge,val,0,al,2,1,x,0.23164619368170136,10.897979508641136,656.1423870056915,731.6955938788178
27,valge,ge,1,e,1,0,x,0.11889125834656866,10.973149465531224,442.01090318879204,1934.622547276745
28,lauade,lau,0,au,2,1,x,0.2439470468791214,11.21100011411618,667.6530646202712,1493.3806871760696
29,"vahele,",va,0,a,1,1,x,0.1994118637139728,11.642321535038304,457.802060050744,1260.5633486544787
30,"vahele,",he,1,ɛ,1,0,ictus,0.28193264707401156,11.870678225623559,718.8988593139046,1599.362952256791
31,kena,ke,0,e,1,1,x,0.25695852610387604,12.60855492908871,756.267399943949,949.1648542485608
32,kena,na,1,ɑ,1,0,x,0.12962982361658248,12.653426791109833,390.5235626158171,1500.7296539902684
33,kirstu,kirs,0,i,2,1,x,0.11352197571155997,12.761687142516228,699.5550611707816,1367.5909034083197
34,kirstu,tu,1,u,1,0,x,0.10048228931226078,12.917396338931413,593.7106174356426,1553.4356067657843
35,keske'elle!,kes,0,e,2,1,x,0.1733511250730615,13.094707073709795,526.9398676299785,1594.3886131695867
36,keske'elle!,ke,1,e,1,0,x,0.17285232832374575,13.296323416149646,324.6714320672377,1249.3004664579566
