,Unnamed: 0,word,word_dur,syll,quantity,stress,segment,seg_duration,seg_midpoint,ictus,f1,f2,euc,fileid,performer
1,1,pandi,0.4567402959029758,pan,2,1,a,0.1770264394799134,6.947527767240623,ictus,603.0568014572063,1303.7818070524547,700.7250055952484,65,LK
4,4,pandi,0.4567402959029758,di,1,0,i,0.1290391054167869,7.202174161618722,off,1074.8499979205567,2167.095173111381,1092.2451751908247,65,LK
6,6,mind(e),0.292966668048666,mind,2,1,i,0.0852095252893585,7.364036543379282,off,731.3766129658968,1651.342030371028,919.9654174051312,65,LK
9,9,mind(e),0.292966668048666,(e),2,0,e,0.0677368533412554,7.527525486285324,off,852.7198743778115,1444.954754213909,592.2348798360974,65,LK
11,11,paju,0.8817748594991475,pa,1,1,a,0.3866169768428902,7.887545732125957,ictus,794.7983207838072,850.8450269147605,56.04670613095334,65,LK
15,15,"raiumaie,",1.5691314607230442,rai,2,1,a,0.1703055774353288,8.642248006510922,ictus,607.4794259170998,1794.74814549722,1187.26871958012,65,LK
16,16,"raiumaie,",1.5691314607230442,rai,2,1,i,0.1211061883984552,8.787953889427815,ictus,639.8500227719728,1179.7608768921164,539.9108541201435,65,LK
25,25,saare,0.7708354294717186,re,1,0,e,0.2190923328085201,14.34400768847102,off,942.303095039344,1513.288115380564,570.9850203412201,65,LK
29,29,juuri,0.8500040691369435,ri,1,0,i,0.2512264213793855,15.177944713322532,off,495.1401001943944,929.2352896088618,434.0951894144674,65,LK
31,31,"juksimaie,",1.576454820620924,juk,2,0,u,0.2117315353673312,15.477062398743938,ictus,593.9057459832424,1099.9444783123176,506.0387323290753,65,LK
34,34,"juksimaie,",1.576454820620924,si,1,0,i,0.2697655103865592,15.932365544126446,ictus,609.0701470296041,1377.0420995060394,767.9719524764354,65,LK
36,36,"juksimaie,",1.576454820620924,mai,2,1,a,0.1996487467253622,16.27842392595705,ictus,1219.1440927083345,2219.3207276740795,1000.176634965745,65,LK
37,37,"juksimaie,",1.576454820620924,mai,2,1,i,0.0664082286313352,16.411452413635395,ictus,567.7939642957004,1517.5889742031331,949.7950099074328,65,LK
40,40,tamme,0.8004015435266609,tam,2,1,a,0.2628181345509759,20.29034324774396,ictus,867.4365106679802,1405.6016857360494,538.1651750680692,65,LK
43,43,tamme,0.8004015435266609,me,1,0,e,0.2255855654895882,20.7250882453137,off,871.247913033988,1444.9249776620968,573.6770646281088,65,LK
49,49,tampimaie.,1.5664239894922396,tam,2,0,a,0.1686416363368756,21.870668649901766,ictus,681.1218003016838,1808.0887326763557,1126.9669323746716,65,LK
52,52,tampimaie.,1.5664239894922396,pi,1,0,i,0.2821269118532932,22.376392267517893,off,967.6735071669702,1494.563479807136,526.8899726401658,65,LK
54,54,tampimaie.,1.5664239894922396,mai,2,1,a,0.1802664068271688,22.71530891458877,ictus,949.4135118844464,1535.9886014705614,586.5750895861152,65,LK
55,55,tampimaie.,1.5664239894922396,mai,2,1,i,0.088004535147391,22.849444385576057,ictus,562.4627187551426,1850.9109655194648,1288.4482467643224,65,LK
58,58,Leidsine,0.8463302777958788,leid,2,1,e,0.1906821395604829,27.801952728455817,ictus,1172.7945187868693,2308.0199666720355,1135.2254478851662,65,LK
59,59,Leidsine,0.8463302777958788,leid,2,1,i,0.1651443530122023,27.97986597474216,ictus,936.4168774675215,2142.988691891166,1206.5718144236444,65,LK
62,62,Leidsine,0.8463302777958788,si,1,0,i,0.0476705348901198,28.253120290808734,off,568.1513906031004,2315.836377657248,1747.6849870541469,65,LK
64,64,Leidsine,0.8463302777958788,ne,1,0,e,0.1080348627408298,28.3752384863079,off,665.673845624381,1598.3828430429242,932.7089974185432,65,LK
