,label,duration,segments,syllables
0,"Kuningas,",1.3357034949807116,[],"[('ku', 1, 1), ('nin', 2, 0), ('gas', 2, 0)]"
1,"kuningas,",1.193106028802358,[],"[('ku', 1, 1), ('nin', 2, 0), ('gas', 2, 0)]"
2,miks,0.3340371829679931,"[0.10965759639833639, 0.10396513864685097, 0.07163969011010085, 0.048774757812704905]","[('miks', 3, 1)]"
3,sa,0.17493390549383614,"[0.049593084737638904, 0.12534082075619724]","[('sa', 3, 1)]"
4,mullu,0.4924049810293609,"[0.10077154195011229, 0.10022642879066801, 0.059254064237874715, 0.07406758029734295, 0.15808536575336296]","[('mul', 2, 1), ('lu', 1, 0)]"
5,meile(e)i,0.5090237837696532,"[0.05980416320300774, 0.11664321300646208, 0.11930343008870858, 0.05726564644258003, 0.09385203166978417, 0.06215529935911057]","[('mei', 2, 1), ('le', 1, 0), ('(e', 2, 1), (')i', 3, 1)]"
6,"tulnud,",0.5466958327663143,"[0.08259952914852242, 0.11453129288516006, 0.03742446188848536, 0.07869754339785828, 0.13133144642971217, 0.10211155901657598]","[('tul', 2, 1), ('nud', 2, 0)]"
7,murumullu,0.9226429537921232,"[0.09399751441117843, 0.10562585554233728, 0.041644151214989655, 0.2079560601747934, 0.06149042304606489, 0.11930148464233703, 0.07498883095680853, 0.05606641566864212, 0.1615722181349719]","[('mu', 1, 1), ('ru', 1, 0), ('mul', 2, 0), ('lu', 1, 0)]"
8,meil,0.338608749712102,"[0.05814265378214056, 0.11061984021188032, 0.10513842725703881, 0.06470782846104228]","[('meil', 3, 1)]"
9,ei,0.18055117116615893,"[0.0824757397467728, 0.09807543141938613]","[('ei', 3, 1)]"
10,"käinud,",0.48330849678076415,"[0.06478944783502971, 0.20406053007602587, 0.05932742513667755, 0.09664240676856473, 0.0584886869644663]","[('käi', 2, 1), ('nud', 2, 0)]"
11,kui,0.2045559693928709,"[0.05340060332384233, 0.05162528344671102, 0.09953008262231755]","[('kui', 3, 1)]"
12,käisid,0.5414937704106677,"[0.0854774189148273, 0.18848966399573364, 0.12076280426006569, 0.0838650761371671, 0.06115161801668201]","[('käi', 2, 1), ('sid', 2, 0)]"
13,käsud,0.6101493329080565,"[0.07906444547026759, 0.22066047021492885, 0.09212039047807785, 0.13282474906141317, 0.08547927768336905]","[('kä', 1, 1), ('sud', 2, 0)]"
14,järele,0.7517181676260147,"[0.05117473306017217, 0.235958581376714, 0.08967628728997745, 0.16067509967106552, 0.0642700398684255, 0.1499634263596601]","[('jä', 1, 1), ('re', 1, 0), ('le', 1, 0)]"
15,ja,0.21604855572999604,"[0.09193857840573294, 0.1241099773242631]","[('ja', 3, 1)]"
16,sõitsid,0.5748372391252818,"[0.10183100550280066, 0.07905760280049101, 0.05046229965988758, 0.025231149829942012, 0.08909991499599457, 0.06199999999999939, 0.0910772864701439, 0.07607797986602272]","[('sõit', 2, 1), ('sid', 2, 0)]"
17,sajad,0.5668979022251666,"[0.08556638899263014, 0.23013961090962987, 0.0997373280731324, 0.057064670994561695, 0.09438990325521246]","[('sa', 1, 1), ('jad', 2, 0)]"
18,"sõnumida,",1.0393452851656324,"[0.054669237101368395, 0.2681825932633153, 0.07314070725363209, 0.14729272919450054, 0.08699999999999974, 0.17573850843949224, 0.03989493122925403, 0.1934265786840701]","[('sõ', 1, 1), ('num', 2, 0), ('i', 1, 1), ('da', 1, 0)]"
19,Nüüd,0.39342932788146,"[0.10828948057778831, 0.113701119518133, 0.07600000000000051, 0.09543872778553819]","[('nüüd', 3, 1)]"
20,sina,0.1859693524025019,"[0.053414420934572604, 0.015259808130902996, 0.02255739085463304, 0.09473773248239326]","[('si', 1, 1), ('na', 1, 0)]"
21,tul´lid,0.5033290228031184,"[0.0748414702034701, 0.16220801823705244, 0.04665274860800395, 0.05598329832960047, 0.08110400911852622, 0.08253947830646524]","[('tul´', 2, 1), ('lid', 2, 0)]"
22,san´dil,0.5847422176948776,"[0.052930475984013015, 0.15821337340578978, 0.13199999999999434, 0.04198241866591701, 0.14544788733950398, 0.054168062299659425]","[('san´', 2, 1), ('dil', 2, 0)]"
23,"ajal,",0.4659719353654417,"[0.24959575728630767, 0.056563067298693426, 0.07541742306492694, 0.07541742306492694]","[('a', 1, 1), ('jal', 2, 0)]"
24,kevadisel,1.0385593081464002,"[0.048533902674900986, 0.2411791213329053, 0.0640166803537987, 0.16822988092974356, 0.05955040032911185, 0.20396012112720996, 0.07443800041139426, 0.07294924040316175, 0.1057019605841738]","[('ke', 1, 1), ('va', 1, 0), ('di', 1, 0), ('sel', 2, 0)]"
25,kehval,0.6169851929873893,"[0.06699022283278211, 0.12816540147061772, 0.15266761057529266, 0.07539141262977722, 0.14889803994380202, 0.04487250553511757]","[('keh', 2, 1), ('val', 2, 0)]"
