,label,duration,segments,syllables
0,pandi,0.4567402959029758,"[0.04732759849635659, 0.17702643947991348, 0.04169789410804814, 0.05991572782170085, 0.12903910541678698]","[('pan', 2, 1), ('di', 1, 0)]"
1,mind(e),0.292966668048666,"[0.053004535827317234, 0.08520952528935855, 0.04204145432216855, 0.04497429926856622, 0.06773685334125545]","[('mind', 2, 0), ('(e', 3, 1)]"
2,paju,0.8817748594991475,"[0.13284333074856125, 0.3866169768428902, 0.09239861391971615, 0.26991593798797986]","[('pa', 1, 1), ('ju', 1, 0)]"
3,"raiumaie,",1.5691314607230442,"[0.11392644533815854, 0.17030557743532881, 0.12110618839845522, 0.1198446656026384, 0.3494418144413771, 0.12992535719061848, 0.13600680272108967, 0.1034999999999986, 0.14300000000000068, 0.1820746095953787]","[('rai', 2, 1), ('u', 1, 0), ('mai', 2, 1), ('e', 1, 0)]"
4,saare,0.7708354294717186,"[0.07960243627444186, 0.401021531643881, 0.07111912874487558, 0.21909233280852014]","[('saa', 2, 1), ('re', 1, 0)]"
5,juuri,0.8500040691369435,"[0.18252157069195896, 0.3297794497162059, 0.0864766273493931, 0.25122642137938556]","[('juu', 2, 1), ('ri', 1, 0)]"
6,"juksimaie,",1.5764548206209241,"[0.06763870704804731, 0.21173153536733125, 0.118569659805706, 0.09598496269985723, 0.26976551038655927, 0.11135125327464124, 0.19964874672536226, 0.06640822863133522, 0.15417178940537823, 0.2811844272767061]","[('juk', 2, 0), ('si', 1, 0), ('mai', 2, 1), ('e', 1, 0)]"
7,tamme,0.8004015435266609,"[0.12145469593663805, 0.2628181345509759, 0.09636664933535855, 0.09417649821410023, 0.2255855654895882]","[('tam', 2, 1), ('me', 1, 0)]"
8,tüve,0.8205066681751596,"[0.11169770718416316, 0.4314597708878516, 0.0766552892440373, 0.20069390085910754]","[('tü', 1, 1), ('ve', 1, 0)]"
9,tampimaie.,1.5664239894922396,"[0.12796013549967356, 0.16864163633687568, 0.14893027624555444, 0.13140906727548796, 0.2821269118532932, 0.10771998773065405, 0.18026640682716888, 0.08800453514739104, 0.1438534413563488, 0.187511591219792]","[('tam', 2, 0), ('pi', 1, 0), ('mai', 2, 1), ('e', 1, 0)]"
10,Leidsine,0.8463302777958788,"[0.12368601879313701, 0.19068213956048297, 0.16514435301220232, 0.0953410697802397, 0.07150580233518156, 0.04767053489011985, 0.04426549668368551, 0.10803486274082985]","[('leid', 2, 1), ('si', 1, 0), ('ne', 1, 0)]"
11,ma,0.506562648023813,"[0.09255173265613337, 0.41401091536767964]","[('ma', 3, 1)]"
12,siis,0.32094389633442333,"[0.07595127556771075, 0.11549149659864, 0.06310287914254786, 0.06639824502552472]","[('siis', 3, 1)]"
13,"kogemata,",1.7877568135403656,"[0.12494130063229036, 0.3727984522744521, 0.09212835314828283, 0.3085228570547187, 0.08141575394499512, 0.18639922613722604, 0.22067954358774955, 0.40087132676065096]","[('ko', 1, 1), ('ge', 1, 0), ('ma', 2, 0), ('ta', 1, 0)]"
14,kus,0.5042718912393198,"[0.06023215060253051, 0.2632812391709649, 0.1807585014658244]","[('kus', 3, 1)]"
15,aga,0.2802120200761422,"[0.10310827857953342, 0.04350000000000165, 0.13360374149660714]","[('a', 1, 1), ('ga', 1, 0)]"
16,salk,0.5469636283193822,"[0.07800226757368733, 0.21852241876676004, 0.0951033956882057, 0.1553355462907291]","[('salk', 3, 1)]"
17,oli,0.33603199809832063,"[0.1281928342656542, 0.06858560090702781, 0.13925356292563862]","[('o', 1, 1), ('li', 1, 0)]"
18,"sarapuida,",1.6541253021056903,"[0.10802024659816567, 0.3795034017322365, 0.09510339568819859, 0.2155676968932596, 0.19727675285184176, 0.18454875283446626, 0.16660407611566797, 0.06539592388433135, 0.2421050555075226]","[('sa', 1, 0), ('ra', 2, 0), ('pui', 2, 1), ('da', 1, 0)]"
19,teine,0.8197991025699167,"[0.08227495343091817, 0.24937562045586503, 0.17224943376183433, 0.07608271655056598, 0.23981637837073322]","[('tei', 2, 1), ('ne', 1, 0)]"
20,salk,0.5430719815151477,"[0.0795804988662141, 0.20354220110117893, 0.12046430120505391, 0.13948498034270074]","[('salk', 3, 1)]"
21,oli,0.2903309563722374,"[0.11068840892493625, 0.06450944822373117, 0.11513309922356996]","[('o', 1, 1), ('li', 1, 0)]"
22,"türnapuida,",1.827075671522337,"[0.1027630791390024, 0.2631193947373589, 0.08452070807919654, 0.08666540415956803, 0.2504389419789419, 0.18069645180758442, 0.15062777348247636, 0.18700000000000472, 0.07765705435600267, 0.44358686378220114]","[('tür', 2, 0), ('na', 2, 0), ('pui', 2, 1), ('da', 1, 0)]"
23,kolmas,0.872814435743301,"[0.08847196140873592, 0.24827559835655677, 0.1318275502303976, 0.09867346938774801, 0.1968736028228406, 0.10869225353702205]","[('kol', 2, 1), ('mas', 2, 0)]"
24,salk,0.5175368364710735,"[0.05432621648565572, 0.24179291918323997, 0.08762964856305899, 0.13378805223911883]","[('salk', 3, 1)]"
25,oli,0.32387959120369203,"[0.11336272667021063, 0.07463964474678164, 0.13587721978669975]","[('o', 1, 1), ('li', 1, 0)]"
26,"kohlapuida,",1.6167393791986484,"[0.10391034044946679, 0.27981649889646576, 0.1546953002029241, 0.07962258098680053, 0.21839336499235884, 0.15014543843225425, 0.24569253561640636, 0.16606995462960583, 0.04549861770674113, 0.17289474728562482]","[('koh', 2, 0), ('la', 2, 0), ('pui', 2, 1), ('da', 1, 0)]"
27,neljas,1.0094734569204107,"[0.17035826489206585, 0.2872646603340314, 0.13607273384243257, 0.12255980877961292, 0.22896142031333966, 0.06425656875892827]","[('nel', 2, 1), ('jas', 2, 0)]"
28,noori,0.8844727699758153,"[0.10961414670639869, 0.41577779785188085, 0.13607273384243257, 0.22300809157510315]","[('noo', 2, 1), ('ri', 1, 0)]"
29,"neidusida,",1.8201345056827023,"[0.1209535411932734, 0.18521010995220166, 0.1436323301670157, 0.07937576140808034, 0.366011647891213, 0.08378433342127778, 0.3364020364437934, 0.09449495405724662, 0.4102697911486004]","[('nei', 2, 1), ('du', 1, 0), ('si', 1, 0), ('da', 1, 0)]"
30,punapõs ki,1.7237221219716474,"[0.09827647808324969, 0.41901343895231946, 0.054752942561492546, 0.29128565442714205, 0.10950588512298509, 0.2759548305099315, 0.14016753295742035, 0.07227388418117187, 0.26249147517593485]","[('pu', 1, 1), ('na', 2, 0), ('põs', 2, 0), ('ki', 3, 1)]"
