,label,duration,segments,syllables
0,"Kuus,",0.6904164697164107,"[0.142234635811653, 0.23210356040045135, 0.16143504641828105, 0.1546432270860253]","[('kuus', 3, 1)]"
1,"kuus,",0.6616470223470846,"[0.10076077374548387, 0.29368205601689745, 0.1942091015595615, 0.07299509102514179]","[('kuus', 3, 1)]"
2,"kul´likene,",1.3173286874511427,"[0.09279316640375201, 0.2047163278875921, 0.05751515222756898, 0.09081339825405643, 0.1543827770318955, 0.13319298410594937, 0.3057384407886561, 0.06356937877783952, 0.21460706197383272]","[('kul´', 2, 1), ('li', 2, 0), ('ke', 1, 0), ('ne', 1, 0)]"
3,mis,0.35356614734078695,"[0.08056571946354207, 0.16259822347079966, 0.11040220440644521]","[('mis', 3, 1)]"
4,see,0.275741510580676,"[0.07549314933714601, 0.08993382637790726, 0.1103145348656227]","[('see', 3, 1)]"
5,kul´li,0.6653647176438282,"[0.10327830278190708, 0.206098352116038, 0.06367350766595381, 0.08246896019814542, 0.2098455948817839]","[('kul´', 2, 1), ('li', 1, 0)]"
6,meile,0.7334570416250452,"[0.08953557169440796, 0.19298300243592603, 0.11962662135663038, 0.07148275969642359, 0.25982908644165725]","[('mei', 2, 1), ('le', 1, 0)]"
7,tul´l?,0.43738029664080713,"[0.05433557705081338, 0.21029906173568236, 0.1368052705105578, 0.0359403873437536]","[('tul´l', 3, 1)]"
8,Kul´l,0.3620905674308279,[],"[('kul´l', 3, 1)]"
9,otsib,0.5833295402906424,[],"[('ot', 2, 1), ('sib', 2, 0)]"
10,küla,0.6350189724395721,[],"[('kü', 1, 1), ('la', 1, 0)]"
11,"kanusida,",1.3530031705610233,[],"[('ka', 1, 1), ('nu', 1, 0), ('si', 1, 0), ('da', 1, 0)]"
12,tahab,0.6412216190270215,"[0.11083313318828125, 0.25538626702813616, 0.04782579325619807, 0.13377002659602866, 0.09340639895837732]","[('ta', 1, 1), ('hab', 2, 0)]"
13,talu,0.8034734631845915,"[0.08363950319535185, 0.3648689539549643, 0.12236458821660356, 0.2326004178176717]","[('ta', 1, 1), ('lu', 1, 0)]"
14,"anisida,",1.2761320468911812,"[0.3704565308313441, 0.071193942235114, 0.23593342716029753, 0.09574036281179055, 0.29349801528001507, 0.06451951015057311, 0.14479025842204685]","[('a', 1, 1), ('ni', 1, 0), ('si', 1, 0), ('da', 1, 0)]"
15,mõisa,0.7226916492539424,"[0.14716954041040609, 0.15700000000000003, 0.1455825605985268, 0.07292836675811998, 0.20001118148688946]","[('mõi', 2, 1), ('sa', 1, 0)]"
16,paari,0.6300060373747023,"[0.10103238480637344, 0.30560458451021866, 0.07640114612755511, 0.14696792193055508]","[('paa', 2, 1), ('ri', 1, 0)]"
17,"partisida,",1.3858950918869066,"[0.12527618078225444, 0.13022922635378542, 0.08681948423585872, 0.1423839541468066, 0.1922142554285866, 0.11100000000000065, 0.2871582373752446, 0.05903724928038301, 0.25177650428398657]","[('par', 2, 1), ('ti', 1, 0), ('si', 1, 0), ('da', 1, 0)]"
18,kõrtsi,0.6393776753238889,"[0.07417229757651, 0.13979675456777407, 0.08452076822629628, 0.08547923177370365, 0.0778599773242643, 0.17754864585534058]","[('kõrt', 2, 1), ('si', 1, 0)]"
19,kirju,0.6886958935575027,"[0.10980514955954845, 0.15640487827843508, 0.08849223376279802, 0.15846283720315135, 0.1755307947535698]","[('kir', 2, 1), ('ju', 1, 0)]"
20,kalkunid.,1.400178939341341,"[0.10658043464223965, 0.20454724143668024, 0.1041331410950388, 0.14504258938237413, 0.22654920115341426, 0.09670820631726684, 0.24729179368273435, 0.23485067775525792]","[('kal', 2, 1), ('ku', 1, 0), ('nid', 2, 0)]"
21,Kuidas,0.7247132405159284,"[0.08652834517365093, 0.18412836611218708, 0.17040058418194448, 0.06237021254961306, 0.12202867672750273, 0.09925705577103017]","[('kui', 2, 1), ('das', 2, 0)]"
22,kul´li,0.6302032562222735,"[0.07971833676264595, 0.19795763113572917, 0.07977430559262544, 0.0829305967107139, 0.189822386020559]","[('kul´', 2, 1), ('li', 1, 0)]"
23,piakene?,1.4015896086766126,"[0.12572440617267233, 0.3040579195076205, 0.18811200356856972, 0.18168714090539595, 0.3045572989252392, 0.052852227612063984, 0.24459861198505095]","[('pia', 3, 1), ('ke', 1, 0), ('ne', 1, 0)]"
24,Nii,0.3382435439535847,"[0.04957064492154828, 0.11033506299029128, 0.17833783604174513]","[('nii', 3, 1)]"
25,kui,0.3010406436582933,"[0.07184648378781233, 0.1100542618193181, 0.11913989805116287]","[('kui', 3, 1)]"
26,mõisa,0.6952605341632001,"[0.08833344018956168, 0.21341449734395823, 0.07911961451247151, 0.0853803854875288, 0.22901259662967988]","[('mõi', 2, 1), ('sa', 1, 0)]"
27,mõõduvakk.,0.9940980060058848,"[0.08118876825620447, 0.3640256352485167, 0.069842127693029, 0.20529352685526803, 0.058076687720930664, 0.13028541423905438, 0.08538584599288157]","[('mõõ', 2, 1), ('du', 1, 0), ('vakk', 3, 1)]"
28,Kuidas,0.7081236869138863,[],"[('kui', 2, 1), ('das', 2, 0)]"
29,kul´li,0.6658461292785312,[],"[('kul´', 2, 1), ('li', 1, 0)]"
30,silmakesed?,1.393156540805336,[],"[('sil', 2, 1), ('ma', 2, 0), ('ke', 1, 0), ('sed', 2, 0)]"
31,Nii,0.31227637635777583,[],"[('nii', 3, 1)]"
32,kui,0.329711181149559,[],"[('kui', 3, 1)]"
33,kulla,0.609248921689403,[],"[('kul', 2, 1), ('la', 1, 0)]"
34,karbikes(ed.),1.5518122266352385,[],"[('kar', 2, 1), ('bi', 2, 0), ('kes', 2, 0), ('(ed', 2, 0)]"
35,Kuidas,0.9533621662180067,[],"[('kui', 2, 1), ('das', 2, 0)]"
36,kul´li,0.5934036218819934,[],"[('kul´', 2, 1), ('li', 1, 0)]"
37,nokakene?,1.381193468275086,[],"[('no', 2, 1), ('ka', 2, 0), ('ke', 1, 0), ('ne', 1, 0)]"
38,Nii,0.34580928110768383,[],"[('nii', 3, 1)]"
39,kui,0.25086720304857835,[],"[('kui', 3, 1)]"
