,word,syll,shape,index,segment,quantity,stressed,ictus,duration,midpoint,f1,f2
0,"Lõpe,",lõ,C V,0,ɵ,2,1,ictus,0.22140095595165055,0.3984687621509764,774.947678568571,932.0726910555433
1,"lõpe,",lõ,C V,0,ɵ,2,1,ictus,0.20855151977876485,1.2274226510117336,814.0126704869344,1680.2522614785823
2,"lõpe,",pe,C V,1,e,2,0,x,0.29317600132927235,1.7142666328384744,851.7507669115654,929.8096360417808
3,"linakene,",li,CV ,0,i,1,1,ictus,0.22295835305663636,2.045269507741341,493.64671931255157,1844.124468585615
4,"linakene,",na,C V,1,ɑ,2,0,x,0.3129413553406204,2.37941157385462,1072.3382324593144,1417.7213720091765
5,kui,kui,CVVV,0,uiː,3,1,ictus,0.3822805843250201,5.463635145790795,586.1627516206173,1685.9436690160094
6,sa,sa,CVVV,0,a,3,1,x,0.16504545371719992,5.846221306549204,1031.6187082116091,1242.1909000908142
7,"lõpe,",lõ,C V,0,ɵ,2,1,ictus,0.21682713990365965,6.23008450062175,749.3620188253077,1724.2301370376988
8,siia,sii,CVV,0,iː,2,1,ictus,0.28781827799982285,7.058594019995843,440.62602458727787,2017.4666405630257
9,siia,a,V,1,ja,1,0,x,0.37381584745475305,7.3894110827231305,981.5640306576246,1354.990234355814
10,"jätan,",jä,C V,0,æ,2,1,ictus,0.21952035973724904,7.82367330218353,963.5331558208139,1910.0760396177077
11,"jätan,",tan,CVVC,1,a,2,0,x,0.29091015203317916,8.275509793452898,946.3406226002149,1401.3480891490883
12,siia,sii,CVV,0,iː,2,1,ictus,0.37205311422872,10.502911462537943,351.71813412284445,2080.0618342231346
13,siia,a,V,1,a,1,0,x,0.19650218122924734,10.88052244360026,1078.084591647485,1399.8434373631333
14,jätan,jä,C V,0,æ,2,1,ictus,0.17094629924597093,11.222064419464253,927.7750088440267,1551.6268225938306
15,jätan,tan,CVVC,1,a,2,0,x,0.21321912973779789,11.614225820711447,903.6341275658854,1468.978938534391
16,tsirgu,tsir,CVVC,0,i,2,1,ictus,0.268398882666105,12.01850037800385,664.0006900825472,1404.8488866322948
17,tsirgu,gu,CV ,1,u,1,0,x,0.2548189963628751,12.451586381443907,695.7492468759393,1061.700236195347
18,"süia,",süi,CVV,0,yi,2,1,ictus,0.4603699984393952,12.95336261982792,424.39710493080446,1866.4351039229202
19,"süia,",a,V V,1,a,2,0,x,0.26160790422808233,13.374465935017492,985.8710289352921,1484.4533145929047
20,pääsukesel,pää,CVV,0,æː,2,1,ictus,0.40696293786109017,15.45891076779473,978.6098891984819,1842.8658278596945
21,pääsukesel,su,C V,1,u,2,0,x,0.20052205712129023,15.860154472942078,707.3538994467731,1326.1519130663
22,pääle,pää,CVV,0,æː,2,1,ictus,0.38260243973877905,17.0799414105161,1047.0192526020357,1623.7067710978074
23,pääle,le,CV ,1,e,1,0,x,0.2632789210786477,17.460233712466348,715.3437742994198,2071.194822139422
24,tulla.,tul,CVVC,0,u,2,1,ictus,0.29370094896442467,17.852664685963255,600.1422113738265,987.7112638975099
25,tulla.,la,C V,1,a,2,0,x,0.31363661228779804,18.341673895584087,1041.7884916337666,1399.7544910240576
26,Jätän,jä,C V,0,æ,2,1,ictus,0.1822971407365408,20.35378100524128,912.8187093936732,1735.425396245006
27,Jätän,tän,CVVC,1,æ,2,0,x,0.19506674721325368,20.710641437039783,991.5241130613895,1736.9287506732167
28,päivä,päi,CVV,0,æi,2,1,x,0.3861688345346934,21.524724054482164,885.379945248796,2015.5585425443276
29,päivä,vä,CV ,1,æ,1,0,ictus,0.20628521759896046,21.882763803471622,912.0888354428183,1495.9554018634672
30,"palada,",pa,CV ,0,a,1,1,x,0.28929763638624806,22.239541096567557,1159.830160298776,1424.454021467649
31,"palada,",la,CV ,1,ɑ,1,0,ictus,0.23817028572054966,22.580172156799446,1030.497199434457,1456.5957326586513
32,jätän,jä,C V,0,æ,2,1,ictus,0.17481150935363843,25.295391250660934,977.8184417435189,1856.2704806352813
33,jätän,tän,CVVC,1,æ,2,0,x,0.1724610436802081,25.64612851589082,981.0093046936314,1702.4950930324073
34,vihma,vih,CVVC,0,i,2,1,x,0.2852544538223398,26.356856254172417,464.9041928007603,1828.255687987409
35,vihma,ma,CV ,1,a,1,0,ictus,0.24619041347101245,26.78401773133199,877.8494471086343,1363.216785164001
36,"valada,",va,CV ,0,a,1,1,x,0.2474661668935667,27.142424147066876,1047.9677357144599,1472.0618679202578
37,"valada,",la,CV ,1,ɑ,1,0,ictus,0.2538802337047912,27.472883309237883,1020.3615957360272,1401.6491597142217
38,ligi,li,CV ,0,i,1,1,ictus,0.34391941729057507,30.391617520519347,478.4829741012598,2101.9063352659878
39,ligi,gi,CV ,1,ɪ,1,0,x,0.2797091496682853,30.796216096614177,598.3624198018294,1873.8467540213483
40,maada,maa,CVV,0,aː,2,1,ictus,0.25606712843930524,31.145193019216503,1167.1702079583206,1442.4457578617519
41,maada,da,CV ,1,a,1,0,x,0.26265758725164545,31.591089946213394,944.580812529696,1519.6496749287019
42,ligunema.,li,CV ,0,i,1,1,ictus,0.29376623909305266,31.967374950414897,480.8622273612082,1509.3890525168915
43,ligunema.,gu,CV ,1,ʊ,1,0,x,0.2939042451413485,32.38631306227605,692.8424320741099,1060.5547042300518
44,"Perenaine,",pe,CV ,0,e,1,0,ictus,0.35860179956917193,35.55160847346754,677.4571152857733,1463.9674676656625
45,"Perenaine,",re,CV ,1,ɛ,1,0,x,0.2878589442313384,35.91002160521829,739.3876288772219,2020.9083905188702
46,"linnukene,",lin,CVVC,0,i,2,1,ictus,0.24138045923191953,37.009935406019515,631.8547663969821,676.7992236843352
47,"linnukene,",nu,C V,1,u,2,0,x,0.23512326354101987,37.401839190389566,708.4346812990333,1032.7042563031328
48,tule,tu,CV ,0,u,1,1,ictus,0.31800099413774063,40.261885984597214,621.9281676587278,997.9335741384447
49,tule,le,CV ,1,ɛ,1,0,x,0.23051633749778233,40.622335065017765,779.9985746097659,1470.7620056332848
50,talu,ta,CV ,0,a,1,1,ictus,0.31476794950962983,40.999864300238485,1200.503642578583,1418.7464627306667
51,talu,lu,CV ,1,ʊ,1,0,x,0.23106485917669062,41.35108177075101,547.4209473826272,851.1678902649737
52,"tuastagi,",tuas,CVVVC,0,u,3,1,ictus,0.3099841086974706,41.7296644082363,672.7380444924943,1047.8386642182616
53,"tuastagi,",ta,CV ,1,a,1,1,x,0.24989819866068785,42.00960556191538,1049.728495174473,1297.1372020230945
54,orjal,or,VVVC,0,o,2,1,ictus,0.2470513932241829,45.672860030428446,800.3552212429967,1237.7721984694397
55,orjal,jal,CVVC,1,a,2,0,x,0.2179232443386141,46.14752958651469,935.937781390505,1470.3175324263166
56,oodakuta!,ood,VVVVC,0,oː,3,1,ictus,0.31737405003272556,46.49365412929078,793.7702747430682,1203.5867070094732
57,oodakuta!,a,V V,1,a,2,1,x,0.220724894728626,46.8813154423237,976.2776859711105,1305.9005955751197
