,word,syll,index,segment,quantity,stressed,ictus,duration,midpoint,f1,f2
0,sain,sain,0,ai,3,1,ictus,0.21750000000000025,2.2946261337868488,668.8538235689277,985.4227562731735
1,"mal´lika,",mal´,0,al,2,1,off,0.2695677783866728,2.5321729130845885,453.1704191028246,1073.7314752452
2,"mal´lika,",li,1,i,2,0,off,0.13076048951592334,2.5663718103425994,473.08383870221417,1086.608163757179
3,mal´likast,mal´,0,al,2,1,off,0.24542738032219535,3.1430169801627152,525.5007125607489,1077.278300653572
4,mal´likast,li,1,i,2,0,off,0.12271369016109723,3.1852626767755514,524.9241067922687,971.51823546659
5,sain,sain,0,ai,3,1,ictus,0.15983900226757264,3.541631519274376,911.9718052813938,1330.894195840944
6,"man´nipil´li,",man´,0,a,2,1,off,0.24059216127254146,3.7960965341510104,476.46193159651284,1342.7999070407584
7,"man´nipil´li,",ni,1,i,2,0,off,0.13077004435138218,3.863540477350614,542.9780447393792,969.010727942274
8,petsariinist,pet,0,e,2,0,ictus,0.18297099495626412,7.273967560367835,906.5090026149705,1990.516572723539
9,petsariinist,sa,1,a,1,0,off,0.20794216616402394,7.4927047254189585,492.3802220892268,1107.2085876076233
10,sain,sain,0,ai,3,1,off,0.20794216616402572,7.996020449257312,600.2328120089596,951.698080456333
11,"riimuka,",rii,0,iː,2,1,ictus,0.2755656348352513,8.25117926405062,506.5959679211313,1163.6439871393538
12,"riimuka,",mu,1,u,2,0,ictus,0.20625157944724393,8.36543897021688,818.6357878680727,1233.9769944778766
13,riimukast,rii,0,iː,2,1,ictus,0.25566225357145456,8.955495533751803,1046.4691223331208,1955.596253835565
14,riimukast,mu,1,u,1,0,ictus,0.15108956916099459,9.029958616780043,973.4135585809572,1654.9519692201477
15,sain,sain,0,ai,3,1,off,0.1756288524534355,9.351788670917554,973.6291240822826,1617.7920489518265
16,"rindasõl´ge,",rin,0,i,2,1,off,0.16792875775942306,9.506333055607671,896.00624452354,1994.224482309329
