,word,syll,shape,index,segment,quantity,stressed,ictus,duration,midpoint,f1,f2
0,"Laula,",lau,"['C', 'VV', 'na']",0,au,2,1,ictus,0.2880196135338418,0.6122926979756712,569.270397804369,983.5974098743487
1,"Laula,",la,"['C', 'VV', 'na']",1,a,2,0,x,0.1500317857723632,0.9134861552435334,618.5033835217334,1195.7480686386461
2,"laula,",lau,"['C', 'VV', 'na']",0,au,2,1,ictus,0.22833987379259546,1.1815286834611434,591.474530585654,1075.4169126431036
3,"laula,",la,"['C', 'VV', 'na']",1,a,2,0,x,0.12108932701122477,1.4461953553571063,593.029151841971,1013.1914080009324
4,"suukene,",suu,"['C', 'VV', 'na']",0,uː,2,1,ictus,0.35980828597621084,1.852865706105141,399.9662796748486,791.8321234468083
5,"suukene,",ke,"['C', 'V', 'na']",1,e,1,0,x,0.2924511441994939,2.3837841637096253,620.5213244773856,944.5225230103473
6,"liigu,",lii,"['C', 'VV', 'na']",0,iː,2,1,ictus,0.21335148416494132,4.217824262715796,392.91296461721936,1845.771677031082
7,"liigu,",gu,"['C', 'VV', 'na']",1,u,2,0,x,0.12489244734459426,4.5046975940479355,454.73381034570986,1001.4629983915682
8,linnu,lin,"['C', 'VV', 'C']",0,i,2,1,ictus,0.1340733370435423,4.705151696491454,408.9279576855647,1337.347037557898
9,linnu,nu,"['C', 'V', 'na']",1,u,1,0,x,0.14709854801617084,4.997298802635749,452.3792985098818,885.3351329584635
10,"keelekene,",kee,"['C', 'VV', 'na']",0,eː,2,1,ictus,0.2554255830599166,5.299675373884865,532.5988579682295,820.1584273271259
11,"keelekene,",le,"['C', 'VV', 'na']",1,e,2,0,x,0.1482806854562888,5.5707261613559025,683.4900846975991,891.7577833903761
12,"mõlgu,",mõl,"['C', 'VV', 'C']",0,ɵ,2,1,ictus,0.11106184461498447,8.049395822753883,691.2576332830442,1389.9362043849164
13,"mõlgu,",mõl,"['C', 'VV', 'C']",0,l,2,1,ictus,0.10393622364715505,8.156894856884954,408.7956834970468,1491.252298165359
14,"mõlgu,",gu,"['C', 'VV', 'na']",1,u,2,0,x,0.09144049534526211,8.402513239939253,314.36864666057335,827.1653693639734
15,marja,mar,"['C', 'VV', 'C']",0,a,2,1,ictus,0.07794161491679397,8.599736485714573,712.6186113922619,1477.5331764789423
16,marja,ja,"['C', 'V', 'na']",1,a,1,0,x,0.16375810564870896,8.906156830602132,705.7724941609957,1214.7773256563632
17,"meelekene,",mee,"['C', 'VV', 'na']",0,eː,2,1,ictus,0.2736973466698842,9.215821589031318,556.1223655855288,799.8772653885144
18,"meelekene,",le,"['C', 'VV', 'na']",1,e,2,0,x,0.14928946181993652,9.497435801100742,529.1687506833536,811.0677392955528
19,"ilutse,",i,"['na', 'V', 'na']",0,i,1,1,ictus,0.2415479826595046,11.432023887595202,404.75093655923473,1613.5971527195918
20,"ilutse,",lut,"['C', 'V', 'CC']",1,ʊ,2,0,x,0.08830978286488822,11.659422072970457,450.43769855857215,1502.9821250430737
21,südämekene!,sü,"['C', 'V', 'na']",0,y,1,1,x,0.09785188942330691,12.25039683509396,453.40327119101966,1732.3890207822074
22,südämekene!,dä,"['C', 'V', 'na']",1,æ,1,0,ictus,0.20702129425703042,12.50621202633409,754.0788322117078,1260.9803229259564
23,vait,vait,"['C', ' ', ' ']",0,a,3,1,ictus,0.2246113275194741,15.728686908028031,523.7696170296771,959.2088408994974
24,musta,mus,"['C', 'VV', 'C']",0,u,2,1,ictus,0.14803879265089037,19.05923293144813,629.1130755265638,811.6817372676965
25,musta,ta,"['C', 'V', 'na']",1,a,1,0,x,0.16568072130876388,19.39711421726531,715.1980748159641,1222.9008248868693
26,valge,val,"['C', 'VV', 'C']",0,al,2,1,ictus,0.23164619368170136,21.448489726759718,648.3141885190972,1310.7468352100395
27,valge,ge,"['C', 'V', 'na']",1,e,1,0,x,0.11889125834656866,21.767962043542596,529.640183386269,597.6623377495132
28,lauade,lau,"['C', 'VV', 'na']",0,au,2,1,ictus,0.2439470468791214,22.056079657913678,673.2928331267963,1276.4626715925192
29,"vahele,",va,"['C', 'V', 'na']",0,a,1,1,x,0.1994118637139728,22.985525274505648,575.5654159067744,997.7305013442583
30,"vahele,",he,"['C', 'V', 'na']",1,ɛ,1,0,ictus,0.28193264707401156,23.3184574806361,711.5014486118986,1879.7533082893701
31,kena,ke,"['C', 'V', 'na']",0,e,1,1,ictus,0.25695852610387604,24.831672069021607,668.2129402654643,2200.0822283413727
32,kena,na,"['C', 'V', 'na']",1,ɑ,1,0,x,0.12962982361658248,25.112408846794793,739.8668681229686,1702.98656589896
33,kirstu,kirs,"['C', 'VV', 'C']",0,i,2,1,ictus,0.11352197571155997,25.353091321465115,579.8819129098508,2140.031865267694
34,kirstu,tu,"['C', 'V', 'na']",1,u,1,0,x,0.10048228931226078,25.684069243894434,486.11406937365024,1056.7645535757024
35,keske'elle!,kes,"['C', 'VV', 'C']",0,e,2,1,ictus,0.1733511250730615,25.92938745981,590.8735107108465,1125.2874950293015
36,keske'elle!,ke,"['C', 'V', 'na']",1,e,1,0,x,0.17285232832374575,26.333368339813674,657.4239100257437,2004.8829782130001
