,word,word_dur,syll,quantity,stress,segment,seg_duration,seg_midpoint,ictus,f1,f2,f3
0,"Lõpe,",0.877833037347531,lõ,2,1,l,0.10285996792019914,0.20669711929491774,ictus,335.42253047332576,1063.5681565079888,1890.2682331404706
1,"Lõpe,",0.877833037347531,lõ,2,1,(õ) ɵ,0.29308178131584894,0.4046679939129418,ictus,684.0019698572189,1113.9869048038804,1962.5737479106674
2,"Lõpe,",0.877833037347531,"pe,",2,0,p,0.19114029216251016,0.6467790306521213,ictus,408.80254239760296,1208.9891856221034,2321.386962761371
3,"Lõpe,",0.877833037347531,"pe,",2,0,e,0.2907509959489728,0.8877246747078629,off,758.5035127903916,1717.6659079835429,2219.432604270808
4,"lõpe,",0.8369767278098372,lõ,2,1,l,0.07560123069583846,1.0709007880302686,ictus,772.4089530337337,1868.6177262403342,1966.346496220135
5,"lõpe,",0.8369767278098372,lõ,2,1,(õ) ɵ,0.2229970075229284,1.2201999071396519,ictus,833.3649676004623,1682.7076102383232,2878.5913177194006
6,"lõpe,",0.8369767278098372,"pe,",2,0,p,0.2410941061056866,1.4522454639539593,ictus,845.4832899963375,1388.0120026045809,2585.062614382378
7,"lõpe,",0.8369767278098372,"pe,",2,0,e,0.2972843834853838,1.7214347087494946,ictus,796.406982818596,1240.8218495375995,2150.151260624457
8,"linakene,",1.658266257971219,li,1,1,l,0.06371343072083668,1.9019336158526048,ictus,819.7632553591349,1090.362337597228,2256.5839866544334
9,"linakene,",1.658266257971219,li,1,1,i,0.24211103673917944,2.054845849582613,ictus,524.068806573284,1589.5989884819005,2508.193104765123
10,"linakene,",1.658266257971219,na,2,0,n,0.041413729968543755,2.1966082329364744,off,761.0314336172398,1490.8565232315811,2587.134527167668
11,"linakene,",1.658266257971219,na,2,0,(a) ɑ,0.31856715360418386,2.376598674722838,ictus,1057.7824786809488,1113.629238836735,1699.5573274674978
12,"linakene,",1.658266257971219,ke,1,0,k,0.19432596369855215,2.6330452333742063,ictus,931.0569657341474,1140.9255030017866,1605.3929771209105
13,"linakene,",1.658266257971219,ke,1,0,e,0.40139461354127093,2.930905521994118,ictus,680.0950106613644,1803.2178068535693,2289.823645064385
14,"linakene,",1.658266257971219,"ne,",2,0,n,0.05415641611271127,3.158681036821109,ictus,691.3698228016757,2032.5119050853766,2244.9180688709
15,"linakene,",1.658266257971219,"ne,",2,0,e,0.342583913585941,3.3570512016704352,off,835.4189345926183,1981.255714256371,2335.7269757039544
16,kui,0.4555510296539822,kui,3,1,k,0.0732704453289621,5.2358596309638035,ictus,589.6502645687351,1911.9669506949988,2692.762094045779
