,label,duration,segments,syllables
0,Oh,0.24088166099773228,"[0.16504294217687082, 0.07583871882086146]","[('oh', 3, 1)]"
1,me,0.16950000000000004,"[0.05966360661431486, 0.10983639338568518]","[('me', 3, 1)]"
2,vaesed,0.6194999999999998,"[0.10125751133786853, 0.089154612301098, 0.1538453876989021, 0.08791315847679149, 0.10908684152320836, 0.07824248866213135]","[('vae', 2, 1), ('sed', 2, 0)]"
3,öösed,0.5414024943310654,"[0.2435467884019853, 0.08390715150731176, 0.11325226757369622, 0.10069628684807208]","[('öö', 2, 1), ('sed', 2, 0)]"
4,"orjad,",0.5066711836950104,"[0.11716678629286936, 0.05069130806909694, 0.12087927308784674, 0.11756181055472248, 0.10037200569047489]","[('or', 2, 1), ('jad', 2, 0)]"
5,"kas´ke,",1.4770316624074158,[],"[('kas´', 2, 1), ('ke', 1, 0)]"
6,öösed,0.44647344414704637,[],"[('öö', 2, 1), ('sed', 2, 0)]"
7,"orjad,",0.5709593390022292,[],"[('or', 2, 1), ('jad', 2, 0)]"
8,päesed,0.5855736961451248,[],"[('päe', 2, 1), ('sed', 2, 0)]"
9,"pärjad,",0.3723580817743759,[],"[('pär', 2, 1), ('jad', 2, 0)]"
10,"kas´ke,",1.7749681579699645,[],"[('kas´', 2, 1), ('ke', 1, 0)]"
11,kinnikiilutud,1.3649966769223232,"[0.05908219317111829, 0.1324256053835402, 0.061119510177018554, 0.07130609520652165, 0.18067225824489963, 0.055656514439572646, 0.0590821931711174, 0.1917009998778072, 0.09779121628322862, 0.12020170334813685, 0.1283509713717379, 0.14872414143074586, 0.058883274816878384]","[('kin', 2, 1), ('ni', 1, 0), ('kii', 2, 1), ('lu', 2, 0), ('tud', 2, 0)]"
12,"sulased,",0.7726726270027218,"[0.1137530154896016, 0.13380558711810941, 0.056635416666665606, 0.15236458333333402, 0.09299999999999997, 0.14413541666666774, 0.07897860772834342]","[('su', 1, 1), ('la', 1, 0), ('sed', 2, 0)]"
13,"kas´ke,",1.6177141006049904,[],"[('kas´', 2, 1), ('ke', 1, 0)]"
14,raudapandud,0.9506654620181401,[],"[('rau', 2, 1), ('da', 2, 0), ('pan', 2, 0), ('dud', 2, 0)]"
15,"palgalised,",1.2071972724769093,[],"[('pal', 2, 1), ('ga', 1, 0), ('li', 1, 0), ('sed', 2, 0)]"
