,word,syll,index,segment,quantity,accent,ictus,duration,midpoint,f1,f2,euc
0,sissi,sis,0,i,2,1,blank,0.18200000000000005,0.5840233843537415,656.742101574928,2101.72106038569,1444.9789588107622
1,sissi,si,1,i,1,0,ictus,0.21595305222374672,0.8082247358972161,428.9942297691756,1625.306339584701,1196.3121098155252
2,"kadrisandi,",kad,0,a,2,1,ictus,0.2619810954886461,1.0122609913384273,843.3314242815272,1887.7943968455502,1044.462972564023
3,"kadrisandi,",ri,1,i,1,0,blank,0.1739597728796991,1.1357503300339538,763.0909845248258,2382.8796792200524,1619.7886946952267
4,Laske,las,0,a,2,1,blank,0.16655725623582818,3.0092942176870747,952.8006662097813,1587.2026781102813,634.4020119005
5,Laske,ke,1,e,1,0,blank,0.17665759473148057,3.196718253148053,942.2261511765371,1555.2393515031536,613.0132003266165
6,sissi,sis,0,i,2,1,blank,0.17799999999999994,3.3401401643990933,895.2047909389747,1611.407003048157,716.2022121091824
7,sissi,si,1,i,1,0,blank,0.17725591478279856,3.5300239136490124,819.7879571685054,1552.620660806385,732.8327036378797
8,"kadrisandi,",kad,0,a,2,1,blank,0.24875360502002763,3.739142037770785,471.56930190012383,1998.299048955064,1526.7297470549402
9,"kadrisandi,",ri,1,i,1,0,blank,0.17554759019396915,3.8536497092728967,458.51802433507044,1662.7708012858443,1204.2527769507738
10,kadril,kad,0,a,2,1,ictus,0.23837539564437016,5.631261819137378,541.1671597922953,1568.5352540162658,1027.3680942239705
11,kadril,ril,1,il,2,0,ictus,0.19074382490494735,5.79381794622014,896.3877163637077,1687.5348034294984,791.1470870657907
12,küüdse,küüd,0,yː,2,1,blank,0.2572796873951191,5.990682183550167,889.7359076474534,2075.023655682747,1185.2877480352938
13,küüdse,se,1,e,1,0,blank,0.19102324520340552,6.111501444956181,657.9432796992207,2250.030662184197,1592.0873824849762
14,"külmeteve,",kül,0,yl,2,1,ictus,0.3036591130861659,6.353639939495871,520.6939570127585,1585.3862462151005,1064.6922892023422
15,"külmeteve,",me,1,e,2,0,ictus,0.14911831446195656,6.387530465509951,542.5094290837442,1868.7457202009607,1326.2362911172165
16,kadril,kad,0,a,2,1,blank,0.24098674009898957,8.263470658881694,1062.9414472987417,2139.0918092116876,1076.150361912946
17,kadril,ril,1,il,2,0,blank,0.2089873689058983,8.429952363236964,913.5556197004387,1512.86977839516,599.3141586947213
18,varba,var,0,a,2,1,blank,0.15388631109047424,8.504071906869507,953.7435739246587,1483.4395489950691,529.6959750704104
19,varba,ba,1,a,1,0,blank,0.23030832506614018,8.758112841317086,865.0829622601977,1622.4274178289795,757.3444555687818
20,valutave!,va,0,a,1,1,blank,0.24661267802960296,8.91844059743339,634.3710915083828,1400.0527261834948,765.6816346751119
21,valutave!,lu,1,ʊ,2,0,blank,0.12429278972692259,8.958885076630247,536.0308156727865,1921.1266595572006,1385.095843884414
22,Kadri,kad,0,a,2,1,blank,0.13625202684198712,10.680927461759874,1006.6171121045899,2134.248531325319,1127.6314192207292
23,Kadri,ri,1,i,1,0,ictus,0.05393309395828538,10.730602679879347,857.9527508324487,1876.5866655179063,1018.6339146854576
24,om,om,0,o,3,1,ictus,0.1816693691226483,10.885305502022852,1185.1371004509506,1416.6010054518702,231.46390500091957
25,tullu,tul,0,ul,2,1,blank,0.29407918296940494,11.16519176552955,605.65614549036,1417.5069777994895,811.8508323091295
26,tullu,lu,1,u,1,0,blank,0.1438357412152662,11.203595768142705,533.1213725651329,2096.1306016081385,1563.0092290430057
27,kauge,kau,0,auː,2,1,ictus,0.32757607054679383,11.502939392320407,624.9489583210484,2019.480384172091,1394.5314258510425
28,kauge,ge,1,e,1,0,ictus,0.18569598903608053,11.564490310034614,713.9057925915686,2208.0143797691667,1494.108587177598
29,ümmert,üm,0,y,2,1,blank,0.21089727179053241,13.366873852717877,600.248502294845,2059.8426480251874,1459.5941457303425
30,ümmert,mert,1,e,2,0,blank,0.15739948298694273,13.491975003820281,923.6995582067069,1595.2440604160079,671.544502209301
31,"ilma,",il,0,il,2,1,blank,0.3612696388663501,13.836648609679354,952.0639362333075,1539.9253830639834,587.861446830676
32,"ilma,","ma,",1,a,2,0,blank,0.22596431899028246,13.91558356255637,928.077565002458,1615.7106641812672,687.6330991788093
33,ümmert,üm,0,y,2,1,blank,0.20894666237829185,14.01154806543952,765.2996379314253,1541.4779000388157,776.1782621073904
34,ümmert,mert,1,e,2,0,blank,0.13747685449052582,14.117872577802515,536.339952974628,1688.7099830687675,1152.3700300941396
35,"otsa,",ot,0,o,2,1,blank,0.18935052668986074,14.295002939648777,481.30582051234467,1415.2259032792863,933.9200827669416
36,"otsa,","sa,",1,a,2,0,blank,0.22575709327811921,14.526137369238961,557.3650291336281,1239.3548588269443,681.9898296933162
37,läbi,lä,0,æ,1,1,blank,0.16153847326662074,15.874774444966643,958.3590831855861,2255.550892779825,1297.191809594239
38,läbi,bi,1,ɪ,1,0,ictus,0.2073178293412461,16.067299468808947,833.8515537411046,1554.969160835432,721.1176070943274
39,soo,soo,0,o,3,1,ictus,0.24168963517534792,16.272001067587674,874.1060771220957,1621.1173398287913,747.0112627066956
40,"sipa-sopa,",si,0,i,2,1,blank,0.16331560854901284,16.498883316882345,568.6668994204416,2007.1628704933487,1438.4959710729072
41,"sipa-sopa,",pa,1,a,1,0,ictus,0.1947704733294131,16.70895294499804,704.1629905534736,980.2874825557684,276.1244920022948
42,läbi,lä,0,æ,1,1,blank,0.19915483482756002,18.491818897284006,656.1997586045072,1274.383296949575,618.1835383450677
43,läbi,bi,1,ɪ,1,0,blank,0.23707815156070922,18.692210631902796,1045.3232609474837,1446.3429584247408,401.01969747725707
44,laane,laa,0,aː,2,1,blank,0.267246562330115,18.883557326218998,1201.840870311978,1495.5213360926514,293.68046578067333
45,laane,ne,1,e,1,0,blank,0.19915483482756002,18.98577529682342,817.6241946578366,1625.6710546395996,808.046859981763
46,lipa-lapa.,li,0,i,2,1,blank,0.1257820009437296,19.040751525480687,879.2604093705684,1627.4070231163362,748.1466137457678
47,lipa-lapa.,pa,1,a,1,0,blank,0.19391391812157366,19.287074610662142,613.1799291067575,1955.2240678327407,1342.0441387259832
48,Obu,o,0,o,1,1,blank,0.14704649341805265,20.889191989775615,1024.7143958811223,2148.2878201377453,1123.573424256623
49,Obu,bu,1,ʊ,1,0,blank,0.10042199550501607,20.95195573696625,878.2633893996128,2158.450198994427,1280.1868095948141
50,meil,meil,0,eil,3,1,ictus,0.20366229599824948,21.14165613103226,1012.2207309596405,1514.0518884997823,501.8311575401418
51,uppus,up,0,u,3,1,ictus,0.14088459004646836,21.180709573079604,1119.4728154415238,1551.6341662004975,432.16135075897364
52,uppus,pus,1,u,2,0,blank,0.15461799256430453,21.372530708481904,424.32548622763284,2223.465284481254,1799.1397982536212
53,"ojasse,",o,0,o,1,1,blank,0.26449790784242566,21.6055888773906,354.95896009363344,1287.949140982756,932.9901808891226
54,"ojasse,",jas,1,ɑ,2,0,blank,0.13386734693877855,21.644707270408166,377.39311135430097,1280.7985623568877,903.4054510025867
